[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
8,1000,40,7.7,28,12,942,24,22,12,58,7.527504489,104,400,40.5734992,9.066560916,6.718531152,8.425225956,507,19,435,39,526,474
4,1000,40,7.7,28,13,950,23,14,13,50,7.286755704,96,407,40.48762555,9.024524631,6.452360957,8.094870302,476,16,474,34,492,508
5,1000,40,7.7,28,13,965,18,8,9,35,6.957277304,81,387,40.23549648,8.740278792,6.381694739,7.566021004,499,15,466,20,514,486
6,1000,40,7.7,28,13,950,27,14,9,50,7.148190893,98,403,40.15367388,9.275217971,6.289460449,8.024269427,485,20,465,30,505,495
2,1000,40,7.7,28,12,940,26,14,20,60,7.899425917,108,423,40.17339385,9.523345254,6.98485009,8.771131002,469,19,471,41,488,512
1,1000,40,7.7,28,11,952,27,10,11,48,7.243182245,89,395,40.09564497,8.986273295,6.612446402,7.818442279,462,15,490,33,477,523
7,1000,40,7.7,28,13,941,30,17,12,59,7.652450941,87,430,40.40133302,9.402245702,7.25957105,8.036013523,474,20,467,39,494,506
8,1000,40,7.7,28,13,943,24,21,12,57,7.558985654,112,397,40.58373703,9.095289753,6.777842252,8.425824113,507,19,436,38,526,474
3,1000,40,7.7,28,13,940,34,9,17,60,7.656101227,98,398,40.3251625,9.321623207,6.62585852,8.669990875,475,21,465,39,496,504
4,1000,40,7.7,28,14,950,25,13,12,50,7.268178222,101,396,40.50334608,9.045113079,6.397920357,8.11102639,477,15,473,35,492,508
5,1000,40,7.7,28,14,966,18,7,9,34,6.966949512,122,420,40.24565871,8.757724785,6.402283464,7.56414776,499,15,467,19,514,486
6,1000,40,7.7,28,14,949,28,14,9,51,7.188630912,105,405,40.15772214,9.286903463,6.286177189,8.109316024,485,20,464,31,505,495
2,1000,40,7.7,28,13,940,27,14,19,60,7.907973569,105,389,40.18834637,9.529270805,7.007569963,8.766170756,469,19,471,41,488,512
1,1000,40,7.7,28,12,951,28,10,11,49,7.293102412,102,395,40.13139365,9.008997439,6.653275619,7.876653808,462,15,489,34,477,523
8,1000,40,7.7,28,14,943,24,21,12,57,7.584000572,89,442,40.61354909,9.098763155,6.78950027,8.465661246,507,19,436,38,526,474
7,1000,40,7.7,28,14,941,31,17,11,59,7.643269773,96,404,40.41176994,9.427190343,7.256301935,8.021060508,474,20,467,39,494,506
4,1000,40,7.7,28,15,952,25,11,12,48,7.271339797,101,429,40.52342577,9.055067619,6.395260781,8.119825773,478,14,474,34,492,508
3,1000,40,7.7,28,14,941,32,10,17,59,7.65769006,111,381,40.35646842,9.308561959,6.640145245,8.659083369,476,20,465,39,496,504
5,1000,40,7.7,28,15,967,17,7,9,33,7.00455988,94,424,40.26940713,8.773600343,6.461635732,7.578763609,499,15,468,18,514,486
6,1000,40,7.7,28,15,951,26,14,9,49,7.184090251,107,410,40.16749564,9.287682255,6.29755169,8.088538682,486,19,465,30,505,495
2,1000,40,7.7,28,14,942,26,13,19,58,7.873152943,115,417,40.2464743,9.538897469,6.982592425,8.721968436,469,19,473,39,488,512
1,1000,40,7.7,28,13,952,27,10,11,48,7.312659848,100,382,40.14702623,9.039213046,6.725942505,7.847772988,461,16,491,32,477,523
